Index,Make and Model,Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","Quartermile, sec","Quartermile, mph",Braking 60–0 mph (feet),Power to Weight,PWRatio,Rating Category,,Color
330,GSX-R600 ’01,1-Jan,7999,I-4,6,100.6,45.5,423,38.6,156,3.02,6.53,10.6,128.29,117.6,4.2,0.24,Middleweight Sportbike,,
327,GSX-R600 ’97,May-97,7699,I-4,6,92.4,44,440,40.6,152,3.53,7.55,11.11,124.7,113.3,4.76,0.21,Middleweight Sportbike,,
328,GSX-R600 ’98,Jun-98,7799,I-4,6,93.1,46.1,440,38.7,150,3.35,7.62,11.14,122.62,114.6,4.73,0.21,Middleweight Sportbike,,
329,GSX-R600 ’99,Jun-99,7799,I-4,6,91.4,44.1,446,39.2,151,3.25,7.4,11.07,123.07,115.9,4.88,0.2,Middleweight Sportbike,,
348,GSX-R750 ’07,11-Jun,9999,I-4,6,118.9,51.24,437,41.3,174,3.25,6.5,10.6,132.41,119.2,3.68,0.27,Middleweight Sportbike,,
349,GSX-R750 ’11,8-Nov,11999,I-4,6,121.2,52.69,415.5,44,170.1,3.13,6.42,10.53,130.93,123.36,3.43,0.29,Middleweight Sportbike,,
346,GSX-R750 ’96,Sep-96,8999,I-4,6,113.7,54.4,451,36.9,155,3.51,7.33,10.96,125.94,112,3.97,0.25,Middleweight Sportbike,,
347,GSX-R750 ’98,Feb-98,9299,I-4,6,112,54,459,36.4,165,3.08,6.6,10.57,131.22,114.4,4.1,0.24,Middleweight Sportbike,,
361,GSX1250FA ABS,11-Nov,11599,I-4,6,99.48,75.66,569.5,42.8,152.3,3.37,8.81,11.49,114.35,122.7,5.72,0.17,Open Sportbike,,
363,GSX1300R Hayabusa ’08,2-Aug,11999,I-4,6,171,102.3,577,42.5,186,2.78,5.3,9.77,145.97,111.7,3.37,0.3,Open Sportbike,,
362,GSX1300R Hayabusa ’99,Jun-99,10499,I-4,6,151.1,93.4,550,38.5,188,2.76,5.3,9.84,142.76,112.2,3.64,0.27,Open Sportbike,,
334,GSX650F,6-Aug,6999,I-4,6,70.4,40.2,533,44.3,133,4.19,11.68,12.42,104.94,111.8,7.57,0.13,Middleweight Standard,,
109,GT1000,10-Jun,9995,L-2,6,75.4,58,459,47.7,130,3.93,9.92,11.95,110.95,125.4,6.09,0.16,Open Standard,,
120,Gurney Alligator,12-Mar,35000,1,5,57.7,47.6,360,46.8,129,3.84,10.44,12.05,109.23,112.2,6.24,0.16,Middleweight Sportbike,,
18,GV650,3-Nov,6995,V-2,5,62.76,39.92,530.5,52.8,116.2,4.72,n/.a,12.97,101.93,125.75,8.45,0.12,Middleweight Cruiser,,
321,GZ250,Sep-99,2899,1,5,17.2,24.9,334,49.7,78,12.64,n/.a,17.96,66.87,123.8,19.42,0.05,Lightweight Cruiser,,
418,Hammer,8-May,16499,V-2,6,73.1,90.8,703,42.8,127,4.31,n/.a,12.79,101.64,126.3,9.62,0.1,Heavyweight Cruiser,,
419,Hammer 106 (Premium),7-Sep,17499,V-2,6,90.31,104.74,714,38.23,120,4.03,11.25,12.33,106.65,128.2,7.89,0.13,Heavyweight Cruiser,,
121,Harley-Davidson Sportster 48,Apr-13,11024,V-2,5,59.94,65.17,550.5,37.9,110.3,5.01,n/.a,13.42,95.99,121.9,9.18,0.11,Middleweight Cruiser,,
155,Honda Grom 125,Jan-14,2999,1,4,8.79,7.83,224.5,95.7,63.8,n/.a,n/.a,20.21,55.99,n/a,25.5,0.04,Urban/Pit Bike,,
218,Husqvarna TE449,5-Nov,8699,1,6,30.4,23.3,289.5,47.7,87.2,6.1,n/.a,14.87,81.51,136.3,9.52,0.11,Middleweight Dual-Sport,,
113,Hypermotard 1100S,11-Jul,13995,L-2,6,77.7,64.9,432,36.1,130,3.48,10,11.76,108.48,114.1,5.56,0.18,Open Standard,,
91,Hypermotard 796,5-Oct,9995,L-2,6,70.98,50.03,418.5,42.8,124,3.8,10.23,11.97,109.1,116.5,5.9,0.17,Middleweight Supermoto,,
97,Hyperstrada,Dec-13,13295,L-2,6,98,59,468,46.7,135,3.33,8.04,11.24,116.46,120.3,4.75,0.21,Middleweight Sport-Tourer,,
221,Indian Scout,1-Feb,18995,V-2,5,54.6,61.3,639,46,114,5.6,n/.a,13.74,97.44,132.4,11.7,0.09,Heavyweight Cruiser,,
424,Judge,4-Dec,13999,V-2,6,76.81,97.22,691,43.7,115.7,4.09,11.9,12.44,106.14,123.6,9,0.11,Heavyweight Cruiser,,
42,K1100LT,Dec-97,16890,I-4,5,88.6,70.9,660,43.2,130,4.35,10.74,12.34,109.82,140.3,7.45,0.13,Luxury Tourer,,
56,K1200GT ’03,3-Mar,17990,I-4,6,103.7,73.7,681,38,143,3.87,8.69,11.68,119.1,117.5,6.57,0.15,Open Sport-Tourer,,
57,K1200GT ’06,8-Jun,18800,T-4,6,123.5,79.7,668,42.4,157,3.48,7.65,11.18,123.32,121.2,5.41,0.18,Open Sport-Tourer,,
54,K1200LT ’01,2-Jan,16990,I-4,5+R,82.7,73.6,860,44.9,115,4.64,13.35,12.87,103.41,126.3,10.4,0.1,Luxury Tourer,,
55,K1200LT ’05,10-Apr,18660,I-4,5+R,95.5,75.7,860,42.1,130,4.85,12.39,12.76,104.95,121.6,9.01,0.11,Luxury Tourer,,
53,K1200LT ’99,Apr-99,16900,I-4,5+R,82.7,73.6,851,52.6,115,4.89,13.6,13.12,102.22,117.1,10.29,0.1,Luxury Tourer,,
50,K1200R,4-Jun,14300,T-4,6,128.1,76.9,550,37.7,162,2.85,6.11,10.3,132.76,121.1,4.29,0.23,Open Standard,,
52,K1200RS,Sep-97,15990,I-4,6,109.3,76.9,628,37,155,3.88,8.2,11.47,122.08,114.6,5.75,0.17,Open Sportbike,,
51,K1200S,8-May,15750,T-4,6,134.7,81.3,560,49.4,172,3.17,6.3,10.47,135.07,120.9,4.16,0.24,Open Sportbike,,
43,K1300S,6-Sep,15250,I-4,6,151.99,91.6,563,35,174.5,2.79,5.98,10.22,135.04,113,3.7,0.27,Open Sportbike,,
72,K1600GT,2-Dec,20900,I-6,6,131.64,110.34,745.5,42.4,151.4,3,7.3,10.89,122.13,123.7,5.66,0.18,Luxury Touring,,
71,K1600GTL,9-Nov,25845,I-6,6,131.43,110.3,784.5,37.9,134.3,3.69,9.18,11.75,113.87,122.4,5.96,0.17,Luxury Touring,,
223,Kawasaki KLX250S,12-Sep,5299,1,6,18.46,12.71,293.5,52.4,83.4,12.34,n/.a,17.77,67.19,142.2,15.89,0.06,Lightweight Dual-Sport,,
421,Kingpin Tour,1-Sep,18399,V-2,6,75.5,94.1,767,35.2,112,4.5,n/.a,13.08,96.3,125.8,10.15,0.1,Heavyweight Cruiser,,
241,KLR650 ’06,5-Jun,5199,1,5,34,33.3,409,45.4,98,6.04,n/.a,14.52,85.71,134.2,12.03,0.08,Middleweight Dual-Sport,,
242,KLR650 ’08,7-Jul,5349,1,5,36.1,32.7,428,48.2,93,5.88,n/.a,14.4,87.08,135.4,11.68,0.09,Middleweight Dual-Sport,,
224,KLX250S ’13,Jan-13,5099,1,6,18.46,12.71,297,53.9,75.14,9.17,n/.a,16.5,75.1,123.67,16.09,0.06,Lightweight Dual-Sport,,
225,KLX250SF,2-Sep,5299,1,6,20.22,13.85,304.5,53.4,83.8,8.81,n/.a,16.39,74.57,123.7,15.06,0.07,Lightweight Supermoto,,
282,KTM 350 EXC-F,8-Dec,9499,1,6,39.32,23.56,262.5,54.7,92.5,5.4,8.01,13.88,91.6,162.9,6.68,0.15,Middleweight Dual-Sport,,
292,Kymco Venox 250,1-Jun,4299,V-2,5,22,12.5,435,49.2,87,11.84,n/.a,17.98,74.38,132,19.77,0.05,Lightweight Cruiser,,
294,Lehman Storm (Kawasaki 900),1-Dec,16195,V-2,5,46.17,51.26,869,35,90.7,10.44,n/.a,17.17,70.46,127.5,18.74,0.05,Middleweight Trike,,
344,LS650,Sep-96,4399,1,5,24.6,30.5,390,50,85,6.98,n/.a,15.3,81.11,117.1,15.85,0.06,Lightweight Cruiser,,
76,M2 Cyclone,Jan-98,9395,V-2,5,68.2,70.4,469,44.8,128,3.75,10.15,11.94,109.88,109.6,6.88,0.15,Open Standard,,
177,Magna 750,Jul-99,7799,V-4,5,76.3,46.5,550,33.5,120,4.37,11.77,12.49,105.65,116.5,7.21,0.14,Middleweight Cruiser,,
5,Mana 850,3-Sep,9899,V-2,CVT,53.61,38.76,517,45.9,199.5,5.28,15.72,13.52,98.94,117.4,9.64,0.1,Middleweight Standard,,
350,Marauder 800,Jun-97,5999,V-2,5,39.7,41.8,485,45.2,101,5.51,n/.a,13.87,94.04,107.6,12.22,0.08,Middleweight Cruiser,,
58,Megamoto,7-Aug,20520,O-2,6,104.6,79.6,448,42.5,137,3.31,7.55,11.1,120.53,106.4,4.28,0.23,Open Supermoto,,
8,Mille ’00,10/00,13799,V-2,6,105.6,65.5,490,39.1,165,3.26,6.77,10.73,129.85,113.4,4.64,0.22,Open Sportbike,,
114,Monster 1100S,4-Sep,13995,L-2,6,83.55,66.9,413.5,38.7,135.5,3.49,8.58,11.48,114.77,112.4,4.95,0.2,Open Standard,,
88,Monster 695,9-Jun,7495,L-2,6,62.1,41.7,415,45,127,4.75,n/.a,12.9,103.23,121.7,6.68,0.15,Middleweight Standard,,
89,Monster 696,10-Aug,8775,L-2,6,68.2,29.7,408,52.4,129,4.09,10.66,12.21,108.35,119.5,5.98,0.17,Middleweight Standard,,
93,Monster 748,May-97,12995,L-2,6,85.7,50.3,452,39.8,153,3.4,7.63,11.11,122.11,112.4,5.27,0.19,Middleweight Sportbike,,
90,Monster 750,Sep-98,7695,L-2,5,57.4,44.7,425,43.1,118,4.34,n/.a,12.66,103.37,109.1,7.4,0.14,Middleweight Standard,,
92,Monster 796,11-Oct,9999,L-2,6,75.84,51.42,446,46.4,137.9,3.97,9.65,11.97,112.3,117.4,5.46,0.18,Middleweight Standard,,
94,Monster 848,3-Aug,12995,L-2,6,117,62.6,428,41.3,156,3.28,6.93,10.74,129.75,114,3.66,0.27,Open Sportbike,,
99,Monster 900ie,10-Feb,11095,L-2,6,75.3,54.3,443,34.9,134,4.07,9.98,11.65,111.65,122.4,5.88,0.17,Open Standard,,
98,Monster City,Sep-99,10995,L-2,6,68.2,54.6,462,42.2,122,3.84,11.45,12.2,105.11,117.5,6.77,0.15,Open Standard,,
101,Monster S4,8-Jan,12995,L-2,6,97.4,63.4,455,47.3,147,3.42,7.82,10.89,119.42,109.8,4.67,0.21,Open Standard,,
427,Morphous Scooter,4-Jun,5199,1,Auto,14.6,11,445,52.3,n/.a,n/.a,n/.a,n/.a,n/.a,n/.a,30.47,0.03,Middleweight Scooter,,
295,Moto Guzzi Breva V750ie,4-Apr,7790,V-2,5,39.3,36.7,448,41.1,108,5.76,n/.a,14.1,92.3,122,11.4,0.09,Middleweight Standard,,
104,Multistrada,8-Mar,11495,L-2,6,82.3,62.3,484,43.6,136,3.58,8.92,11.6,113.77,118.6,5.88,0.17,Open Standard,,
105,Multistrada 1000S,7-May,13495,L-2,6,80.2,61,504,38.2,135,3.84,9.62,11.88,113.1,127.7,6.28,0.16,Open Standard,,
117,Multistrada 1200S,9-Oct,19995,L-2,6,135.51,81.68,503.5,40.5,156.4,3.09,6.5,10.62,127.62,114.3,3.71,0.27,Open Adventure-Tourer,,
118,Multistrada 1200S Touring,Jul-13,19995,L-2,6,131.1,77.8,539,38.2,149.8,3.57,7.65,11.29,124.1,124.1,4.11,0.24,Open Adventure-Tourer,,
87,Multistrada 620 Dark,3-Jun,7995,L-2,6,57.5,40.1,449,52,117,3.7,n/.a,12.23,102.15,114.2,7.81,0.13,Middleweight Standard,,
311,MuZ Baghira,Jun-98,7799,1,5,40.9,36,384,42.7,102,5.22,n/.a,13.68,91.94,124.8,9.39,0.11,Middleweight Dual-Sport,,
314,MV Agusta F4 Senna,10-Feb,24995,I-4,6,116.7,53.3,481,33.4,171,3.5,6.85,10.85,131.85,122.3,4.12,0.24,Open Sportbike,,
293,MyRoad 700i,Jan-14,9699,I-2,CVT,39.8,36.2,665,43.22,98,8.34,n/.a,15.99,84.16,132,16.71,0.06,Maxi-Scooter,,
171,NC700X,12-Dec,6999,I-2,6,47.51,42.57,474,60.4,102.5,5.7,n/.a,14.17,88.41,115.8,9.98,0.1,Middleweight Standard,,
172,NC700X DCT ABS,Oct-13,8499,I-2,6,47.51,42.57,487.5,54.7,102.5,5.98,n/.a,14.45,87.67,124.9,10.26,0.1,Middleweight Standard,,
296,Nevada V750ie,4-May,7790,V-2,5,37.1,35.1,439,40.7,101,6.08,n/.a,14.48,88.59,132.5,11.83,0.08,Middleweight Standard,,
176,Nighthawk 750,3/00,5799,I-4,5,63.9,42.7,496,37.6,118,4.47,n/.a,12.74,103.14,130.4,7.76,0.13,Middleweight Standard,,
255,Ninja 1000,1-Nov,10999,I-4,6,122.48,72.68,498,41.4,152.8,2.91,6.28,10.5,129.11,116.5,4.07,0.25,Open Sport-Tourer,,
256,Ninja 1000 ABS,Jan-14,11999,I-4,6,126.5,74.9,512.5,41.6,149.29,3.01,6.28,10.49,130.38,124.2,4.05,0.25,Open Sport-Tourer,,
226,Ninja 250R ’08,6-Aug,3499,I-2,6,26.4,13.6,374,51.2,95.5,7.72,n/.a,15.58,81.98,121.5,14.17,0.07,Lightweight Sportbike,,
227,Ninja 250R ’11,4-Nov,3999,I-2,6,26.09,13.32,382.5,45.7,97.7,7.89,n/.a,15.73,80.56,121.5,14.66,0.07,Lightweight Sportbike,,
228,Ninja 300,12-Dec,4799,I-2,6,34.77,17.45,385,54.1,106,6.41,n/.a,14.67,87.7,124.6,11.07,0.09,Lightweight Sportbike,,
229,Ninja 500,7-Apr,4799,I-2,6,49.9,30.9,438,64,110,4.49,n/.a,13.09,97.5,130.3,8.78,0.11,Middleweight Sportbike,,
240,Ninja 650 ‘12,3-Dec,7499,I-2,6,61.47,41.21,460,49,126.5,3.99,11.77,12.33,104.9,115.6,7.48,0.13,Middleweight Sportbike,,
238,Ninja 650R ’06,3-Jun,6299,I-2,6,61,42.7,438,65.3,126,3.16,10.53,11.17,106.04,119.3,7.18,0.14,Middleweight Standard,,
239,Ninja 650R ’07,5-Jul,6399,I-2,6,63.1,42.6,438,54.3,129,3.84,10.95,12.11,107.3,128.1,6.93,0.14,Middleweight Standard,,
268,Ninja ZX-14 ’06,7-Jun,11499,I-4,6,163.3,100.6,560,35.6,186,2.9,5.41,9.89,143.76,117.5,3.43,0.29,Open Sportbike,,
269,Ninja ZX-14 ’08,2-Aug,11699,I-4,6,163.1,101.6,563,35.2,186,2.78,5.35,9.83,143.44,119.8,3.45,0.29,Open Sportbike,,
270,Ninja ZX-14R,7-Dec,14699,I-4,6,189.34,112.09,584,32.9,186,2.77,5.08,9.62,149,116.03,3.09,0.32,Open Sportbike,,
307,Norge 1200,6-Jul,14990,V-2,6,71.2,59.2,617,44.1,124,4.1,12,12.42,104.73,120,8.67,0.12,Open Sport-Tourer,,
173,NT700V ABS,3-Oct,10999,V-2,5,53.42,40.28,586,46.4,118.3,5.36,18.19,13.73,95.2,125.5,10.97,0.09,Middleweight Standard,,
179,Pacific Coast 800,Jul-97,8699,V-2,5,45.6,41,620,49.3,108,6.09,n/.a,14.36,84.1,114.9,13.6,0.07,Middleweight Sport-Tourer,,
318,Piaggio MP3 500 Scooter,5-Aug,8899,1,CVT,30,26,576.5,44,92.3,9.24,n/.a,16.57,78.87,131.5,19.22,0.05,Maxi-Scooter,,
44,R1100GS ’98,Oct-98,13550,O-2,5,75.8,67.8,575,36.6,123,4.27,12.06,12.53,104.2,133.6,7.59,0.13,Open Adventure-Tourer,,
41,R1100RT,Dec-96,15990,O-2,5,79.3,65.6,622,37.5,125,4.52,n/.a,12.75,103.75,128.8,7.84,0.13,Open Sport-Tourer,,
40,R1100S,Feb-99,13900,O-2,6,87.3,65.3,540,40.7,139,3.86,9.22,11.78,114.73,123.1,6.19,0.16,Open Sportbike,,
45,R1150GS,Sep-99,13550,O-2,6,75,69.9,581,36.6,117,4.11,12.42,12.51,103.78,130,7.75,0.13,Open Adventure-Tourer,,
46,R1150GS Adventure,9-Feb,15200,O-2,6,75,69.9,614,46,125,4.03,11.5,12.33,105.51,145.7,8.19,0.12,Open Adventure-Tourer,,
47,R1150R,9-Jan,12190,O-2,6,76.9,70.9,552,41,136,3.89,10.59,12.09,108.21,122.5,7.18,0.14,Open Standard,,
48,R1150RS,12-Feb,15490,O-2,6,78.2,66.5,557,42.2,135,4.04,10.3,12.13,110.54,122.8,7.12,0.14,Open Sportbike,,
49,R1150RT ’02,6-Jan,16290,O-2,6,81,67.7,640,36.6,127,4.97,n/.a,13.07,102.46,123.3,7.9,0.13,Open Sport-Tourer,,
59,R1200C,Feb-98,12990,O-2,5,55.5,62.6,568,42.5,109,5.22,n/.a,13.61,93.79,119.5,10.23,0.1,Heavyweight Cruiser,,
60,R1200CLC,1-Mar,16490,O-2,6,49.9,61.5,722,43.5,102,6.53,n/.a,14.8,87.09,119.8,14.16,0.07,Luxury Touring Cruiser,,
61,R1200GS,9-Apr,15100,O-2,6,80.2,69.8,530,49.1,136,3.62,8.88,11.61,115.23,125.2,6.61,0.15,Open Adventure-Tourer,,
65,R1200GS ‘13,Aug-13,15800,O-2,6,115.65,82.47,543.5,44,136.9,4,9.22,11.8,116.69,125.4,4.7,0.21,Open Adventure-Tourer,,
62,R1200GS ’08,9-Aug,14600,O-2,6,94,75.1,536,48,131,3.81,9.08,11.8,114.8,125.6,5.7,0.18,Open Adventure-Tourer,,
63,R1200GS ’10,7-Oct,15445,O-2,6,94.99,71.83,532,41.7,130.1,3.77,9.42,11.83,112.16,142,5.6,0.18,Open Adventure-Tourer,,
64,R1200GS ’11,12-Nov,14950,O-2,6,94.99,71.83,543.5,44,130.8,3.48,8.36,11.45,117.04,113.7,5.72,0.17,Open Adventure-Tourer,,
69,R1200R,2-Jul,13025,O-2,6,97.7,76.5,511,44,138,3.51,8.17,11.35,118.33,119,5.23,0.19,Open Standard,,
66,R1200RT,6-May,17490,O-2,6,96.5,76.4,625,42.4,137,4.08,9.64,12.02,111.88,119.4,6.48,0.15,Open Sport-Tourer,,
67,R1200RT ‘12,11-Dec,17350,O-2,6,96.49,73.32,623.5,33.3,113.9,4.08,10.64,12.24,107.76,127.5,5.72,0.17,Open Sport-Tourer,,
68,R1200S,12-Jun,14700,O-2,6,109,76.3,484,44,151,3.47,7.4,11.08,123.71,122.7,4.44,0.23,Open Sportbike,,
70,R1200ST,10-May,14990,O-2,6,94.8,74.6,523,40.7,146,3.32,8.44,11.39,116.05,117.6,5.52,0.18,Open Sport-Tourer,,
37,R850R,Apr-96,8990,O-2,5,67.7,53.2,469,43.7,112,4.15,n/.a,12.87,99.8,127.3,6.93,0.14,Open Standard,,
472,Raider,1-Aug,13180,V-2,5,83.1,99,737,37,125,4.01,11.23,12.27,106.73,120.2,8.88,0.11,Heavyweight Cruiser,,
473,Raider S,10-Sep,14590,V-2,5,84.15,106.58,738.5,40.4,125,4.01,11.23,12.27,106.73,120.2,8.76,0.11,Heavyweight Cruiser,,
190,RC51 ’00,10/00,9999,V-2,6,117.4,71.4,488,34.1,164,3.05,6.65,10.61,129.76,116.2,4.16,0.24,Open Sportbike,,
191,RC51 ’03,4-Mar,10999,V-2,6,115.9,69.8,482,35.5,168,3.1,6.55,10.57,132.79,115.2,4.16,0.24,Open Sportbike,,
159,Rebel 250,May-96,3995,I-2,5,16.1,12.4,320,62.6,70,11.86,n/.a,17.86,68.55,115.9,19.88,0.05,Lightweight Cruiser,,
470,Road Star,Jul-99,10499,V-2,5,52.1,83.1,740,31.4,106,5.99,n/.a,14.2,91.15,119.4,14.2,0.07,Heavyweight Cruiser,,
471,Road Star Warrior,4-Feb,11999,V-2,5,71.8,92.4,654,40.7,125,3.93,n/.a,12.25,105.52,114.5,9.11,0.11,Heavyweight Cruiser,,
474,Roadliner S,1-Jun,14980,V-2,5,84.8,107.8,762,37.6,126,4.12,11.22,12.32,107.28,119.8,8.99,0.11,Heavyweight Cruiser,,
411,Rocket III,12-Apr,15990,I-3,5,127.1,144.6,797,31.3,145,3.59,8.29,11.44,118.33,129.1,6.27,0.16,Heavyweight Cruiser,,
412,Rocket III Roadster,Jun-13,14990,I-3,5,119.36,135.71,807,39.6,120.8,3.47,9.08,11.57,112.33,134.6,6.76,0.15,Heavyweight Cruiser,,
319,Royal Enfield Bullet C5,4-Oct,6395,1,5,19.86,26.61,418.5,57.7,79.7,11.41,n/.a,17.36,71.38,135.86,20.9,0.05,Middleweight Standard,,
463,Royal Star M’night Venture,2-Apr,16899,V-4,5,75.1,75.5,890,35.2,109,5.2,n/.a,13.58,95.25,127.8,11.85,0.08,Custom Tourer,,
461,Royal Star Tour Deluxe ’99,Mar-99,15199,V-4,5,60.6,73,796,34.5,101,5.98,n/.a,14.32,89.05,121.5,13.14,0.08,Heavyweight Cruiser,,
464,Royal Star Tour Dlx ’05,11-Apr,13999,V-4,5,72.4,74,851,34.8,114,5.39,n/.a,14.15,93.17,135.3,11.75,0.09,Heavyweight Cruiser,,
462,Royal Star Venture,Apr-99,15999,V-4,5,77.2,77.3,873,35.2,110,5.27,n/.a,13.65,92.32,124.6,11.31,0.09,Custom Tourer,,
6,RST1000 Futura,10-Jan,12999,V-2,6,93.9,62.2,543,39.7,151,3.24,7.62,11.04,121.12,113.2,5.78,0.17,Open Sport-Tourer,,
9,RSV Mille R ’02,2-Mar,17299,V-2,6,110.3,68,463,35.3,169,3.1,6.22,10.41,133.9,113.7,4.2,0.24,Open Sportbike,,
10,RSV Mille R ’04,1-Apr,13899,V-2,6,113.9,66.6,472,31.4,173,3.09,6.27,10.43,135.44,119.3,4.14,0.24,Open Sportbike,,
11,RSV4 Factory,6-Oct,20999,V-4,6,152.77,73.08,458.5,26.7,177.7,3.07,5.75,10.16,142.75,123.6,3.14,0.32,Open Sportbike,,
38,S1000RR,6-Oct,13800,I-4,6,178.81,77.97,458,38.4,186.6,3.1,5.54,10.01,151.06,118.1,2.55,0.39,Open Sportbike,,
39,S1000RR ’12,9-Dec,15050,i-4,6,183.8,77.92,458,36,186,3.01,5.33,9.8,148.35,119.3,2.49,0.4,Open Sportbike,,
96,S2R Monster Dark,9-May,7995,L-2,6,68.3,48.6,419,42.2,129,4,10.99,12.24,107.5,128.3,6.12,0.16,Middleweight Standard,,
75,S3,Sep-97,11999,V-2,5,73.6,70,496,52.8,135,3.84,9.31,11.77,114.01,120.6,6.74,0.15,Open Sportbike,,
385,Scrambler,10-Jun,7999,I-2,5,47.4,45,513,36.6,104,6.32,n/.a,14.85,84.38,148.6,10.82,0.09,Middleweight Standard,,
386,Scrambler ‘12,5-Dec,8799,I-2,5,50.13,44.43,512.5,50.7,107.9,4.94,17.4,13.41,96.63,121.26,10.22,0.1,Middleweight Standard,,
339,SFV650 Gladius,8-Sep,6499,V-2,6,68.82,44.7,448.5,48.5,127.4,3.82,11.83,12.23,127.4,115.7,6.52,0.15,Middleweight Standard,,
174,Shadow ACE 750,Sep-97,6299,V-2,5,36.9,41.5,542,44.8,99,6.83,n/.a,15.03,84.05,117.9,14.69,0.07,Middleweight Cruiser,,
194,Shadow ACE Tourer ’98,Aug-97,10999,V-2,5,53.4,64.9,653,41.1,100,5.76,n/.a,14.12,90.32,117.7,12.21,0.08,Heavyweight Cruiser,,
196,Shadow ACE Tourer ’99,Mar-99,9999,V-2,5,53.4,64.9,652,36,100,5.76,n/.a,14.12,90.32,117.7,12.21,0.08,Heavyweight Cruiser,,
175,Shadow Aero 750,1-Apr,6199,V-2,5,35.4,42,553,45.5,102,7.31,n/.a,15.23,85.67,120,15.62,0.06,Middleweight Cruiser,,
178,Shadow RS,10-Oct,7799,V-2,5,37.79,41.45,505.5,54.5,109.8,7.02,n/.a,15.32,82.58,124.89,13.38,0.07,Middleweight Cruiser,,
197,Shadow Sabre,2/00,8199,V-2,5,51.4,62.7,660,30.1,101,5.92,n/.a,14.26,88.12,126.2,12.84,0.08,Heavyweight Cruiser,,
162,Shadow VLX600,May-99,5499,V-2,4,30.7,32.5,484,40,90,8.34,n/.a,16.11,79.81,121.6,15.77,0.06,Middleweight Cruiser,,
163,Shadow VLX600 599,3-Apr,7099,I-4,6,80.4,41.7,446,47.7,136,3.71,8.64,11.57,115.51,116.5,5.55,0.18,Middleweight Standard,,
3,Shiver,8-Aug,8995,V-2,6,75.5,45.4,485,40.9,130,4.04,10,12.05,110.59,111.3,6.41,0.16,Middleweight Standard,,
4,Shiver 750,2-Nov,8999,V-2,6,77.3,44.83,489,43.8,131.3,4.15,11,12.27,108.04,113.8,6.33,0.16,Middleweight Standard,,
312,Skorpion Sport Cup,Jun-98,7195,1,5,41.8,37.6,424,40.7,113,5.76,n/.a,14.03,91.34,113.7,10.14,0.1,Middleweight Sportbike,,
371,Speed 4,5-Mar,7499,I-4,6,79.6,38.8,453,40.7,138,3.4,8.03,11.29,119.1,109.7,5.69,0.18,Middleweight Standard,,
394,Speed Triple ’03,9-Mar,8890,I-3,6,103.1,63.7,484,44,153,3.26,7.49,11.04,124.35,116.7,4.69,0.21,Open Standard,,
395,Speed Triple ’99,Feb-99,10199,I-3,6,100,62.9,483,34.1,143,3.17,7.59,11.05,119.04,106.7,4.83,0.21,Open Standard,,
407,Speed Triple 1050 ’06,2-Jun,9999,I-3,6,110.4,69.5,488,40.6,143,3.25,6.98,10.82,125.01,104.8,4.42,0.23,Open Standard,,
408,Speed Triple 1050 ’09,9-Sep,12299,I-3,6,119.75,72.2,484.5,41.7,146,3.47,7.64,11.21,120,120,4.05,0.25,Open Standard,,
409,Speed Triple R,6-Dec,15999,I-3,6,124.02,76.06,479.5,39.2,154.3,2.99,6.98,10.8,125.49,128.7,3.87,0.26,Open Standard,,
382,Speedmaster,4-Mar,8699,I-2,5,53.1,40.3,580,37.1,103,6.22,n/.a,14.47,90.1,125.5,10.92,0.09,Middleweight Cruiser,,
110,Sport 1000 Biposto,11-Sep,11995,L-2,6,77.97,59.78,452.5,49.9,136.5,3.44,9.22,11.64,136.5,121.4,5.8,0.17,Open Sportbike,,
111,Sport 999 Biposto,2-Mar,17695,L-2,6,112.2,68.2,477,44.9,172,2.9,6.2,10.36,132.89,111.6,4.25,0.24,Open Sportbike,,
132,Sportster 72,6-Dec,10499,V-2,5,54.67,59.81,559.5,43.3,108,5.32,n/.a,13.69,95.01,120.7,10.23,0.1,Heavyweight Cruiser,,
122,Sportster 883L,1-May,6895,V-2,5,40.8,41.9,574,51.3,108,6.94,n/.a,14.98,88.93,134,14.07,0.07,Middleweight Cruiser,,
123,Sportster SuperLow,10-Oct,7999,V-2,5,47.5,48.02,566.5,51.7,105.2,6.37,n/.a,14.6,89.15,124.96,11.92,0.08,Middleweight Cruiser,,
403,Sprint GT,2-Nov,13199,I-3,6,117.75,72.52,595.5,41.8,150.2,3.19,7.21,10.88,125.12,122.7,5.02,0.2,Open Sport-Tourer,,
405,Sprint ST ’02,3-Feb,10899,I-3,6,98.1,61.2,553,46.4,147,3.24,7.45,11.03,122.75,111.8,5.64,0.18,Open Sportbike,,
406,Sprint ST ’05,10-May,10599,I-3,6,106.9,68.9,548,37.3,160,3.38,7.73,11.15,122.82,n/.a,5.13,0.19,Open Sportbike,,
404,Sprint ST ’99,Aug-99,10499,I-3,6,89.3,59,507,38.1,149,3.33,9.93,11.28,120.36,121.4,5.68,0.18,Open Sportbike,,
193,ST1100 ABSII,Dec-96,13999,V-4,5,88.3,70.9,726,38,132,4.38,11.28,12.47,107.9,120.2,8.22,0.12,Open Sport-Tourer,,
